,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM/,3PA,3P%
1,Al Horford,BOS,39,11,6,5,347.6,88,34,72,47.2,14,35,40
2,Baylor Scheierman,BOS,24,4,3,1,22.3,8,3,10,30,2,5,40
3,Derrick White,BOS,30,11,6,5,415.3,207,68,147,46.3,40,104,38.5
4,JD Davison,BOS,22,4,3,1,13.2,4,1,8,12.5,1,2,50
5,Jaylen Brown,BOS,28,11,6,5,402.4,243,86,195,44.1,21,63,33.3
6,Jayson Tatum,BOS,27,8,4,4,321.6,225,74,175,42.3,29,78,37.2
7,Jordan Walsh,BOS,21,5,4,1,15.3,0,0,1,0,0,1,0
8,Jrue Holiday,BOS,35,8,4,4,264,76,29,60,48.3,9,26,34.6
9,Kristaps Porziņģis,BOS,29,11,6,5,230.8,85,25,79,31.6,4,26,15.4
10,Luke Kornet,BOS,29,11,6,5,180.4,50,21,29,72.4,0,0,0
11,Neemias Queta,BOS,25,4,3,1,12.8,10,5,6,83.3,0,0,0
12,Payton Pritchard,BOS,27,11,6,5,301.8,131,45,99,45.5,27,67,40.3
13,Sam Hauser,BOS,27,8,5,3,108,28,10,24,41.7,7,21,33.3
14,Torrey Craig,BOS,34,5,4,1,21,6,2,4,50,2,3,66.7
15,Xavier Tillman,BOS,26,1,0,1,8.4,2,1,4,25,0,2,0
16,Chuma Okeke,CLE,26,3,2,1,12.8,3,1,4,25,1,4,25
17,Craig Porter Jr.,CLE,25,6,4,2,35.5,12,6,12,50,0,3,0
18,Darius Garland,CLE,25,5,3,2,147.9,90,29,69,42,10,35,28.6
19,De'Andre Hunter,CLE,27,8,5,3,185.2,88,27,63,42.9,12,26,46.2
20,Dean Wade,CLE,28,9,5,4,141.7,15,6,18,33.3,3,14,21.4
21,Donovan Mitchell,CLE,28,9,5,4,288.1,266,86,194,44.3,28,84,33.3
22,Evan Mobley,CLE,24,8,5,3,257.1,137,51,87,58.6,14,31,45.2
23,Isaac Okoro,CLE,24,9,5,4,127.6,41,15,30,50,6,16,37.5
24,Jarrett Allen,CLE,27,9,5,4,261,121,44,61,72.1,0,0,0
25,Javonte Green,CLE,31,6,4,2,39.5,15,4,10,40,1,5,20
26,Jaylon Tyson,CLE,22,4,3,1,30.6,24,7,15,46.7,5,9,55.6
27,Max Strus,CLE,29,9,5,4,253,105,37,89,41.6,26,67,38.8
28,Sam Merrill,CLE,29,8,5,3,159.3,46,15,40,37.5,14,39,35.9
29,Tristan Thompson,CLE,34,3,2,1,29.3,7,3,6,50,0,0,0
30,Ty Jerome,CLE,27,9,5,4,191.4,105,37,92,40.2,14,36,38.9
31,Aaron Gordon,DEN,29,14,7,7,521.7,227,81,167,48.5,22,58,37.9
32,Christian Braun,DEN,24,14,7,7,544.2,177,67,148,45.3,21,70,30
33,DeAndre Jordan,DEN,36,7,3,4,35.7,6,3,3,100,0,0,0
34,Hunter Tyson,DEN,25,5,2,3,30.1,15,5,10,50,1,5,20
35,Jalen Pickett,DEN,25,8,4,4,57.2,13,5,15,33.3,3,9,33.3
36,Jamal Murray,DEN,28,14,7,7,578.5,305,111,250,44.4,34,96,35.4
37,Julian Strawther,DEN,23,9,4,5,87.7,38,13,30,43.3,6,12,50
38,Michael Porter Jr.,DEN,27,14,7,7,435.3,128,47,120,39.2,24,70,34.3
39,Nikola Jokić,DEN,30,14,7,7,562.9,367,131,268,48.9,27,71,38
40,Peyton Watson,DEN,22,14,7,7,199,63,24,59,40.7,7,19,36.8
41,Russell Westbrook,DEN,36,13,6,7,312.7,152,52,133,39.1,20,63,31.7
42,Vlatko Čančar,DEN,28,3,2,1,10.7,0,0,0,0,0,0,0
43,Zeke Nnaji,DEN,24,6,3,3,34.4,7,1,8,12.5,1,6,16.7
44,Ausar Thompson,DET,22,6,2,4,134.9,69,24,42,57.1,0,2,0
45,Cade Cunningham,DET,23,6,2,4,247.8,150,55,129,42.6,5,28,17.9
46,Dennis Schröder,DET,31,6,2,4,164.3,75,26,53,49.1,10,21,47.6
47,Isaiah Stewart,DET,24,1,0,1,18.9,2,1,2,50,0,0,0
48,Jalen Duren,DET,21,6,2,4,203.5,71,26,40,65,0,0,0
49,Malik Beasley,DET,28,6,2,4,163.1,84,28,75,37.3,20,59,33.9
50,Paul Reed,DET,26,5,2,3,53.1,14,5,8,62.5,0,0,0
