,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM/,3PA,3P%
1,Caris LeVert,ATL,30,3,0,3,64,26,9,27,33.3,3,16,18.8
2,Clint Capela,ATL,31,3,1,2,47.5,24,9,16,56.3,0,0,0
3,Daeqwon Plowden,ATL,26,2,0,2,21.7,3,1,9,11.1,0,6,0
4,Dominick Barlow,ATL,22,1,1,0,2.9,2,1,1,100,0,0,0
5,Dyson Daniels,ATL,22,4,1,3,91.1,43,16,38,42.1,8,21,38.1
6,Garrison Mathews,ATL,28,4,1,3,65.4,29,10,32,31.3,9,27,33.3
7,Georges Niang,ATL,32,4,0,4,64.8,30,11,26,42.3,4,15,26.7
8,Jacob Toppin,ATL,25,2,2,0,14.2,2,1,5,20,0,1,0
9,Jalen Johnson,ATL,23,3,1,2,69.1,50,20,29,69,7,8,87.5
10,Keaton Wallace,ATL,26,3,1,2,35.9,11,4,10,40,2,7,28.6
11,Kevon Harris,ATL,28,2,0,2,34.9,22,7,18,38.9,0,9,0
12,Kobe Bufkin,ATL,21,4,1,3,103,60,21,56,37.5,9,26,34.6
13,Larry Nance Jr.,ATL,32,3,1,2,58.6,21,8,15,53.3,2,6,33.3
14,Mouhamed Gueye,ATL,22,4,1,3,64.9,15,5,16,31.3,1,5,20
15,Onyeka Okongwu,ATL,24,1,0,1,16.3,9,4,7,57.1,1,4,25
16,Terance Mann,ATL,28,5,4,1,76.2,34,14,20,70,3,7,42.9
17,Trae Young,ATL,26,3,1,2,64.5,37,12,27,44.4,7,13,53.8
18,Vít Krejčí,ATL,25,4,1,3,92.9,20,8,19,42.1,4,13,30.8
19,Zaccharie Risacher,ATL,20,2,1,1,45.8,32,12,20,60,4,9,44.4
20,Amari Bailey,BKN,21,2,1,1,14.2,4,0,3,0,0,0,0
21,Cam Thomas,BKN,23,4,1,3,101,59,18,41,43.9,6,20,30
22,Cameron Johnson,BKN,29,4,1,3,102.2,59,20,48,41.7,13,33,39.4
23,Cui Cui,BKN,22,2,1,1,13.3,6,2,7,28.6,1,3,33.3
24,D'Angelo Russell,BKN,29,5,2,3,128.7,49,19,52,36.5,6,25,24
25,Dariq Whitehead,BKN,20,3,1,2,21.1,6,2,9,22.2,2,5,40
26,De'Anthony Melton,BKN,27,5,5,0,92.5,45,18,41,43.9,9,23,39.1
27,Jalen Wilson,BKN,24,4,1,3,98.9,44,14,35,40,7,19,36.8
28,Keon Johnson,BKN,23,3,0,3,48.2,25,10,25,40,3,13,23.1
29,Maxwell Lewis,BKN,22,5,2,3,63.4,17,6,16,37.5,1,4,25
30,Noah Clowney,BKN,20,4,1,3,82.2,36,15,30,50,1,13,7.7
31,Reece Beekman,BKN,23,6,6,0,41.2,11,3,10,30,1,3,33.3
32,Tosan Evbuomwan,BKN,24,4,2,2,26.1,8,3,8,37.5,0,1,0
33,Tyrese Martin,BKN,26,4,1,3,48,19,8,16,50,3,9,33.3
34,Ziaire Williams,BKN,23,4,1,3,100.3,40,16,33,48.5,3,11,27.3
35,Al Horford,BOS,39,1,0,1,23.1,2,1,6,16.7,0,4,0
36,Baylor Scheierman,BOS,24,5,4,1,58.2,15,4,24,16.7,3,17,17.6
37,Derrick White,BOS,30,4,3,1,96,50,17,45,37.8,9,28,32.1
38,Dmytro Skapintsev,BOS,27,3,3,0,28.2,8,3,5,60,0,0,0
39,Drew Peterson,BOS,25,3,3,0,47.5,38,12,20,60,6,11,54.5
40,JD Davison,BOS,22,5,4,1,65.6,35,10,22,45.5,6,14,42.9
41,Jaylen Brown,BOS,28,4,3,1,90.5,66,24,52,46.2,4,21,19
42,Jayson Tatum,BOS,27,4,3,1,99,69,24,58,41.4,14,36,38.9
43,Jordan Walsh,BOS,21,5,4,1,104,45,15,33,45.5,7,19,36.8
44,Jrue Holiday,BOS,35,3,3,0,48,20,9,17,52.9,2,8,25
45,Luke Kornet,BOS,29,4,3,1,74.2,36,17,23,73.9,0,0,0
46,Miles Norris,BOS,25,1,0,1,6.2,6,2,2,100,2,2,100
47,Neemias Queta,BOS,25,5,4,1,74.1,29,10,17,58.8,0,1,0
48,Payton Pritchard,BOS,27,5,4,1,110.7,80,27,56,48.2,21,43,48.8
49,Sam Hauser,BOS,27,4,4,0,70.1,42,15,33,45.5,11,24,45.8
50,Torrey Craig,BOS,34,3,2,1,48.2,15,6,15,40,3,10,30
51,Xavier Tillman,BOS,26,4,3,1,69,27,9,19,47.4,6,11,54.5
52,Brandon Miller,CHA,22,5,2,3,118.5,87,29,64,45.3,21,43,48.8
53,Charlie Brown Jr.,CHA,28,4,2,2,52.1,23,8,15,53.3,3,10,30
54,DaQuan Jeffries,CHA,27,2,1,1,32.2,2,1,4,25,0,3,0
55,Duane Washington Jr.,CHA,25,2,1,1,19.5,12,5,13,38.5,1,4,25
56,Grant Williams,CHA,26,3,1,2,50,14,4,13,30.8,2,8,25
57,Harry Giles III,CHA,27,5,2,3,33.2,9,4,12,33.3,0,1,0
58,Josh Green,CHA,24,2,1,1,27,5,2,5,40,1,2,50
59,Josh Okogie,CHA,26,3,2,1,42.9,19,8,18,44.4,2,6,33.3
60,Jusuf Nurkić,CHA,30,1,0,1,16.9,15,6,11,54.5,2,4,50
61,KJ Simpson,CHA,22,5,2,3,81.4,23,5,22,22.7,2,12,16.7
62,Keyontae Johnson,CHA,25,5,2,3,77.8,25,10,25,40,2,8,25
63,LaMelo Ball,CHA,23,4,1,3,84.1,59,19,50,38,15,36,41.7
64,Miles Bridges,CHA,27,4,2,2,76.1,38,13,31,41.9,4,13,30.8
65,Moussa Diabaté,CHA,23,5,2,3,90.8,35,14,20,70,0,0,0
66,Nick Smith Jr.,CHA,21,1,0,1,24.9,14,4,16,25,1,8,12.5
67,Seth Curry,CHA,34,4,2,2,57,25,9,17,52.9,7,13,53.8
68,Taj Gibson,CHA,40,3,1,2,25.4,9,4,6,66.7,0,0,0
69,Tidjane Salaün,CHA,19,5,2,3,139.5,59,21,53,39.6,15,37,40.5
70,Tre Mann,CHA,24,4,2,2,79.4,64,27,45,60,8,17,47.1
71,Wendell Moore Jr.,CHA,23,4,2,2,48.6,25,8,13,61.5,3,4,75
72,Adama Sanogo,CHI,23,5,3,2,48.5,18,7,13,53.8,1,2,50
73,Ayo Dosunmu,CHI,25,3,2,1,58.2,36,13,24,54.2,8,13,61.5
74,Chris Duarte,CHI,28,5,3,2,54.8,21,7,24,29.2,4,17,23.5
75,Coby White,CHI,25,3,3,0,86.6,58,18,38,47.4,10,22,45.5
76,DJ Steward,CHI,23,4,2,2,33.1,7,3,10,30,1,5,20
77,Dalen Terry,CHI,22,3,1,2,63.6,19,7,18,38.9,1,7,14.3
78,E.J. Liddell,CHI,24,2,1,1,30.1,8,2,7,28.6,1,5,20
79,Emanuel Miller,CHI,25,3,1,2,27.8,15,6,8,75,0,1,0
